unique_id,model,scenario,climatology,start_date,end_date,variable,region,timescale,timeidx,timestamp,op,modtime,min,max,mean,median,stdev,ncells,units,access_time
fdETCCDI_aClimMean_BCCAQ_HadGEM2-CC_historical-rcp45_r1i1p1_20700101-20991230,HadGEM2-CC,"historical, rcp45",2080,2070-01-01T00:00:00Z,2099-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:14Z,2.566666603088379,248.23333740234375,65.4674098320158,0.0,67.13004400839283,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-CC_historical-rcp85_r1i1p1_20100101-20391230,HadGEM2-CC,"historical, rcp85",2020,2010-01-01T00:00:00Z,2039-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:14Z,6.199999809265137,276.9333190917969,87.77430830039526,0.0,70.71154294685475,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-CC_historical-rcp85_r1i1p1_20400101-20691230,HadGEM2-CC,"historical, rcp85",2050,2040-01-01T00:00:00Z,2069-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:14Z,2.2333333492279053,239.43333435058594,60.176043725296445,0.0,65.04652009163705,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-ES_historical-rcp45_r1i1p1_20100101-20391230,HadGEM2-ES,"historical, rcp45",2020,2010-01-01T00:00:00Z,2039-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:15Z,5.633333206176758,281.5333251953125,84.58738265810277,0.0,73.07147729021588,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-ES_historical-rcp45_r1i1p1_20400101-20691230,HadGEM2-ES,"historical, rcp45",2050,2040-01-01T00:00:00Z,2069-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:15Z,3.2666666507720947,252.93333435058594,70.30582386363636,0.0,66.15311620738204,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-ES_historical-rcp85_r1i1p1_20100101-20391230,HadGEM2-ES,"historical, rcp85",2020,2010-01-01T00:00:00Z,2039-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:16Z,4.300000190734863,276.3333435058594,83.34517045454545,0.0,71.25859669279565,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_HadGEM2-ES_historical-rcp85_r1i1p1_20400101-20691230,HadGEM2-ES,"historical, rcp85",2050,2040-01-01T00:00:00Z,2069-12-30T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:16Z,0.800000011920929,241.86666870117188,55.83678359683795,0.0,65.53415578623411,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_inmcm4_historical-rcp45_r1i1p1_20100101-20391231,inmcm4,"historical, rcp45",2020,2010-01-01T00:00:00Z,2039-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2025-07-02 00:00:00,mean,2019-04-04T17:05:16Z,8.733333587646484,301.4333190917969,106.02945899209486,0.0,75.2105909446812,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_inmcm4_historical-rcp45_r1i1p1_20400101-20691231,inmcm4,"historical, rcp45",2050,2040-01-01T00:00:00Z,2069-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2055-07-02 00:00:00,mean,2019-04-04T17:05:16Z,3.8333332538604736,294.8333435058594,87.61304347826086,0.0,77.58375798011932,1265,days,2020-03-17
fdETCCDI_aClimMean_BCCAQ_inmcm4_historical-rcp45_r1i1p1_20700101-20991231,inmcm4,"historical, rcp45",2080,2070-01-01T00:00:00Z,2099-12-31T23:59:59Z,fdETCCDI,vancouver_island,yearly,0,2085-07-02 00:00:00,mean,2019-04-04T17:05:17Z,4.633333206176758,289.29998779296875,83.24945652173913,0.0,77.34116162688188,1265,days,2020-03-17
